"spotify_id","name","artists","daily_rank","daily_movement","weekly_movement","country","snapshot_date","popularity","is_explicit","duration_ms","album_name","album_release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"7mXuWTczZNxG5EDcjFEuJR",LADY GAGA,"Peso Pluma, Gabito Ballesteros, Junior H",25,-1,0,"",2023-11-21,94,true,212878,GÉNESIS,2023-06-29,0.646,0.736,5,-7.118,0,0.0449,0.216,0.0,0.415,0.873,140.098,3
"1kuGVB7EU95pJObxwvfwKS",vampire,Olivia Rodrigo,26,0,1,"",2023-11-21,95,true,219724,GUTS,2023-09-08,0.511,0.532,5,-5.745,1,0.0578,0.177,0.0,0.291,0.35,138.005,4
"7CyPwkp0oE8Ro9Dd5CUDjW","One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",27,0,3,"",2023-11-21,91,false,244684,The Idol Episode 4 (Music from the HBO Original Series),2023-06-23,0.522,0.641,8,-6.287,1,0.0318,0.0545,0.0,0.162,0.202,87.51,4
"4Dvkj6JhhA12EX05fT7y2e",As It Was,Harry Styles,28,-3,0,"",2023-11-21,94,false,167303,Harry's House,2022-05-20,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,4
"01qFKNWq73UfEslI0GvumE","3D (feat. Jack Harlow)","Jung Kook, Jack Harlow",29,0,-11,"",2023-11-21,87,true,201812,"3D : The Remixes",2023-10-02,0.853,0.824,1,-3.287,1,0.103,0.0322,0.0,0.0859,0.888,108.044,4
"1odExI7RdWc4BT515LTAwj",Daylight,David Kushner,30,0,-4,"",2023-11-21,94,false,212953,Daylight,2023-04-14,0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,4
"1Qrg8KqiBpW07V7PNxwwwL",Kill Bill,SZA,31,0,1,"",2023-11-21,91,false,153946,SOS,2022-12-08,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,4
"7vQbuQcyTflfCIOu3Uzzya",Jingle Bell Rock,Bobby Helms,32,0,18,"",2023-11-21,83,false,130973,Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol),1957-12-02,0.754,0.424,2,-8.463,1,0.0363,0.643,0.0,0.0652,0.806,119.705,4
"2YSzYUF3jWqb9YP9VXmpjE",IDGAF (feat. Yeat),"Drake, Yeat",33,-6,12,"",2023-11-21,93,true,260111,For All The Dogs,2023-10-06,0.663,0.67,8,-8.399,1,0.271,0.0464,0.0000892,0.205,0.138,136.952,4
"0QZ5yyl6B6utIWkxeBDxQN",The Night We Met,Lord Huron,34,0,5,"",2023-11-21,82,false,208211,Strange Trails,2015-04-07,0.545,0.366,2,-9.51,1,0.0378,0.969,0.267,0.641,0.1,86.997,3
"7MXVkk9YMctZqd1Srtv4MB",Starboy,"The Weeknd, Daft Punk",35,0,-4,"",2023-11-21,93,true,230453,Starboy,2016-11-25,0.679,0.587,7,-7.015,1,0.276,0.141,0.00000635,0.137,0.486,186.003,4
"1vYXt7VSjH9JIM5oRRo7vA",Dance The Night - From Barbie The Album,Dua Lipa,36,-6,-7,"",2023-11-21,93,false,176579,Dance The Night (From Barbie The Album),2023-05-25,0.671,0.845,11,-4.93,0,0.048,0.0207,0.0,0.329,0.775,110.056,4
"5KD6AEm19QnMbfWpfoOHMl",Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,37,-4,-15,"",2023-11-21,92,false,146436,"1989 (Taylor's Version)",2023-10-26,0.793,0.512,0,-9.319,1,0.0338,0.186,0.0000381,0.0889,0.0662,109.994,4
"0HD8mbiPjp3o94X3EaZp0o",exes,Tate McRae,38,-9,12,"",2023-11-21,79,true,159400,exes,2023-11-17,0.838,0.569,5,-6.324,0,0.0621,0.152,0.000136,0.102,0.551,136.965,4
"59NraMJsLaMCVtwXTSia8i",Prada,"cassö, RAYE, D-Block Europe",39,-13,-1,"",2023-11-21,94,true,132359,Prada,2023-08-11,0.638,0.717,8,-5.804,1,0.0375,0.001,0.00000179,0.113,0.422,141.904,4
"0mflMxspEfB0VbI1kyLiAv",Stick Season,Noah Kahan,40,0,-3,"",2023-11-21,91,false,182346,Stick Season,2022-10-14,0.662,0.488,9,-6.894,1,0.0682,0.782,0.0,0.102,0.817,117.913,4
"4KULAymBBJcPRpk1yO4dOG",I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves",41,0,-1,"",2023-11-21,93,false,227195,Zach Bryan,2023-08-25,0.429,0.453,0,-7.746,1,0.0459,0.554,0.000002,0.102,0.155,77.639,4
"6wf7Yu7cxBSPrRlWeSeK0Q","What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,42,0,-9,"",2023-11-21,94,false,222369,"What Was I Made For? [From The Motion Picture ""Barbie""]",2023-07-13,0.444,0.0911,0,-17.665,1,0.0307,0.959,0.00000105,0.098,0.142,78.403,4
"3JvKfv6T31zO0ini8iNItO",Another Love,Tom Odell,43,0,-2,"",2023-11-21,92,true,244360,Long Way Down (Deluxe),2013-06-24,0.445,0.537,4,-8.532,0,0.04,0.695,0.0000165,0.0944,0.131,122.769,4
"6XbtvPmIpyCbjuT0e8cQtp",Columbia,Quevedo,44,-5,0,"",2023-11-21,94,false,186000,Columbia,2023-07-07,0.668,0.712,5,-5.927,1,0.0381,0.369,0.0000213,0.108,0.264,100.02,4
